model,augmentation,parameters,aug_strength,test_avg_f1,test_avg_prec,test_avg_rc,test_f1_class1,test_prec_class1,test_rc_class1,test_pr_auc_class1,test_f1_class2,test_prec_class2,test_rc_class2,test_pr_auc_class2,test_f1_class3,test_prec_class3,test_rc_class3,test_pr_auc_class3,val_avg_f1,val_avg_prec,val_avg_rc,val_f1_class1,val_prec_class1,val_rc_class1,val_f1_class2,val_prec_class2,val_rc_class2,val_f1_class3,val_prec_class3,val_rc_class3
swav,DTW,w=1_r=10,1,72.6,83.31,69.94,81.05,91.88,72.5,94.31,69.54,58.06,86.69,72.39,67.22,100.0,50.62,59.3,50.49,68.68,51.77,78.85,68.17,93.49,70.65,84.3,60.8,1.97,53.57,1.0
swav,DTW,w=3_r=5,2,55.1,83.12,55.52,84.2,89.33,79.63,92.56,69.91,61.5,81.0,72.93,11.19,98.53,5.93,30.46,54.44,76.48,54.65,80.88,71.13,93.71,74.82,86.01,66.21,7.61,72.29,4.02
swav,DTW,w=3_r=10,3,75.13,86.02,69.88,87.82,86.79,88.88,94.05,71.65,71.81,71.49,74.8,65.92,99.46,49.29,60.31,51.64,80.25,52.19,78.45,66.05,96.58,68.07,87.85,55.56,8.41,86.84,4.42
swav,EM,var=0.01,1,70.49,84.72,65.7,86.56,87.07,86.07,92.21,71.2,68.5,74.12,74.98,53.7,98.58,36.9,49.71,55.0,78.55,54.86,80.74,70.29,94.85,73.76,86.84,64.1,10.5,78.5,5.63
swav,EM,var=0.5,2,74.38,87.23,68.43,88.8,85.36,92.54,95.13,71.06,76.32,66.47,76.43,63.28,100.0,46.28,82.0,52.43,78.78,53.18,79.66,68.45,95.26,72.43,87.89,61.6,5.18,80.0,2.68
swav,EM,var=1.0,3,69.12,83.18,65.17,87.14,88.85,85.48,94.36,73.52,68.97,78.71,76.9,46.7,91.71,31.33,55.92,53.38,60.16,54.01,80.63,69.86,95.32,73.89,88.38,63.49,5.62,22.22,3.22
swav,GN,var=0.01,1,66.88,85.13,63.08,86.1,88.26,84.05,94.35,72.35,67.12,78.47,76.75,42.18,100.0,26.73,59.39,52.55,67.55,53.44,80.31,70.24,93.76,73.73,85.74,64.67,3.61,46.67,1.88
swav,GN,var=0.1,2,75.74,86.71,70.78,88.44,88.53,88.34,94.62,74.17,72.33,76.11,76.39,64.6,99.27,47.88,62.44,53.22,72.18,53.74,80.24,68.68,96.47,72.36,88.92,61.01,7.05,58.95,3.75
swav,GN,var=1.0,3,80.93,87.17,76.55,88.29,85.57,91.18,91.88,71.42,75.95,67.4,76.27,83.08,100.0,71.06,80.73,51.9,55.97,52.71,79.69,68.36,95.54,70.35,87.3,58.91,5.66,12.25,3.68
swav,Neg,True,2,72.93,86.84,67.74,88.32,87.62,89.03,94.27,73.91,73.13,74.71,74.43,56.56,99.78,39.47,53.06,53.7,74.87,53.64,79.18,67.21,96.35,70.37,88.78,58.28,11.53,68.61,6.3
swav,TO,"crop_ratio_range=[0.1, 0.2]",1,80.98,88.12,76.39,90.47,88.55,92.47,95.77,77.01,79.51,74.66,81.22,75.46,96.29,62.04,77.24,55.97,57.81,60.46,81.82,72.89,93.24,66.47,86.82,53.85,19.61,13.73,34.29
swav,TO,"crop_ratio_range=[0.0, 0.5]",2,77.47,87.36,72.56,89.05,88.93,89.17,94.87,75.04,73.65,76.47,79.88,68.33,99.49,52.04,74.88,55.1,66.01,55.53,82.51,72.67,95.43,76.52,87.87,67.76,6.26,37.5,3.42
swav,TO,"crop_ratio_range=[0.4, 0.5]",3,82.59,88.16,79.49,89.15,92.31,86.19,95.62,78.11,72.42,84.77,81.97,80.53,99.74,67.52,76.37,55.31,74.63,55.63,82.24,72.27,95.4,76.74,88.4,67.8,6.96,63.22,3.68
